Duration_12000
3276,39g
3280,41g
3280,17b
3290,29b
3290,48g
330,36g
3300,46g
3300,17b
3306,48g
3310,46g
3310,29b
3316,48g
3320,17b
3320,51g
3330,48g
3330,29b
3340,15b
3340,46g
3350,27b
3350,48g
3360,13b
3360,36g
3370,25b
3370,44g
3380,43g
3380,13b
3386,44g
3390,43g
3390,25b
34,31g
340,34g
3400,46g
3400,13b
3410,44g
3410,25b
3420,13b
3420,43g
3426,44g
3430,43g
3430,25b
3436,39g
3440,13b
3440,41g
3450,25b
3450,48g
346,36g
3460,13b
3460,46g
3466,48g
3470,46g
3470,25b
3476,48g
3480,13b
3480,51g
3490,25b
3490,48g
3500,12b
3500,46g
3510,43g
3510,24b
3520,44g
3520,10b
3530,22b
3530,43g
3536,44g
3540,43g
3540,10b
3550,39g
3550,22b
356,31g
3560,10b
3560,41g
3566,36g
3570,39g
3570,22b
3580,34g
3580,10b
3590,31g
3590,22b
3600,11b
3600,29g
3610,31g
3610,23b
3620,32g
3620,11b
3630,34g
3630,23b
3640,11b
3640,36g
3650,23b
3650,40g
366,32g
3660,41g
3660,11b
3670,23b
3670,43g
3680,40g
3680,12b
3690,48g
3690,24b
3700,46g
3700,12b
3706,48g
3710,46g
3710,24b
3720,52g
3720,12b
3730,48g
3730,24b
3740,46g
3740,12b
3746,48g
3750,24b
3750,46g
3756,43g
376,36g
3760,12b
3760,40g
3770,24b
3770,52g
3780,12b
3780,48g
3786,52g
3790,48g
3790,24b
3794,52g
380,34g
3800,55g
3800,12b
3810,24b
3810,52g
3820,60g
3820,12b
3830,24b
3840,13b
3840,53g
3850,25b
386,32g
3860,13b
3860,56g
3870,25b
3880,13b
3880,55g
3890,25b
390,31g
3900,53g
3900,13b
3910,25b
3910,51g
3920,15b
3930,27b
3940,15b
3940,60g
3950,27b
396,29g
3960,55g
3960,15b
3970,27b
3980,51g
3980,15b
3990,27b
4000,17b
4000,53g
4010,29b
4020,17b
4020,56g
4030,29b
4040,17b
4040,55g
4050,29b
4060,17b
4060,53g
4070,51g
4070,29b
4080,17b
4090,29b
410,36g
4100,60g
4100,17b
4110,29b
4120,17b
4120,55g
4130,29b
4140,15b
4140,51g
4150,52g
4150,27b
4160,53g
4160,13b
4170,25b
4180,56g
4180,13b
4190,25b
420,34g
4200,13b
4200,55g
4210,25b
4220,53g
4220,13b
4230,25b
4230,51g
4240,15b
4250,27b
426,36g
4260,15b
4260,60g
4270,27b
4280,15b
4280,55g
4290,27b
4300,51g
4300,15b
4310,27b
4320,53g
4320,17b
4330,29b
4340,17b
4340,56g
4350,29b
436,31g
4360,55g
4360,17b
4370,29b
4380,56g
4380,17b
4390,29b
4390,58g
44,32g
4400,17b
4410,29b
4420,19b
4420,56g
4430,31b
4440,55g
4440,20b
4450,32b
446,32g
4460,51g
4460,15b
4470,52g
4470,27b
4480,56g
4480,53g
4480,13b
4490,25b
4500,60g
4500,13b
4510,25b
4520,13b
4520,58g
4520,55g
4530,25b
4540,56g
4540,53g
4540,13b
4550,51g
4550,25b
4550,55g
456,36g
4560,15b
4570,27b
4580,15b
4580,58g
4580,63g
4590,27b
460,27g
4600,55g
4600,15b
4610,27b
4620,15b
4620,51g
4630,27b
4640,53g
4640,17b
4640,56g
4650,29b
4660,17b
4660,60g
4670,29b
4680,58g
4680,55g
4680,17b
4690,29b
470,28g
4700,60g
4700,17b
4700,56g
4710,29b
4710,58g
4710,61g
4720,17b
4730,29b
4740,56g
4740,17b
4740,60g
4750,29b
4760,17b
4760,55g
4760,58g
4770,29b
4780,15b
4780,51g
4790,27b
480,29g
4800,13b
4800,49g
4800,53g
4810,25b
4820,56g
4820,13b
4830,25b
4840,13b
4840,55g
4840,51g
4850,25b
4860,49g
4860,53g
4860,13b
4870,25b
4880,13b
4890,25b
490,36g
4900,13b
4900,61g
4900,56g
4910,25b
4920,55g
4920,13b
4920,60g
4930,25b
4940,13b
4940,58g
4940,53g
4950,25b
4950,59g
4960,52g
4960,12b
4960,60g
4970,55g
4970,24b
4980,48g
4980,12b
4990,24b
4990,52g
4990,60g
500,34g
5000,62g
5000,53g
5000,12b
5010,24b
5020,12b
5020,62g
5030,55g
5030,64g
5030,24b
5040,12b
5050,24b
506,36g
5060,64g
5060,60g
5060,14b
5070,26b
5070,62g
5070,65g
5080,16b
5080,64g
5080,67g
5090,28b
5100,12b
5110,24b
5120,13b
5120,36g
5130,25b
5130,44g
5140,43g
5140,13b
5144,44g
5150,25b
5150,43g
516,31g
5160,46g
5160,15b
5170,27b
5170,44g
5180,43g
5180,15b
5184,44g
5190,43g
5190,27b
5194,39g
5200,41g
5200,17b
5210,48g
5210,29b
5220,17b
5220,46g
5224,48g
5230,46g
5230,29b
5234,48g
5240,51g
5240,17b
5250,29b
5250,48g
526,32g
5260,46g
5260,15b
5270,48g
5270,27b
5280,36g
5280,13b
5290,25b
5290,44g
5300,43g
5300,13b
5306,44g
5310,43g
5310,25b
5320,46g
5320,15b
5330,27b
5330,44g
5340,15b
5340,43g
5346,44g
5350,43g
5350,27b
5356,39g
536,36g
5360,17b
5360,41g
5370,29b
5370,48g
5380,46g
5380,19b
5386,48g
5390,31b
5390,46g
5396,48g
54,36g
540,34g
5400,20b
5400,52g
5410,32b
5410,48g
5420,46g
5420,22b
5430,48g
5430,34b
5440,13b
5440,36g
5450,44g
5450,25b
546,32g
5460,13b
5460,43g
5466,44g
5470,43g
5470,25b
5480,46g
5480,15b
5490,27b
5490,44g
550,31g
5500,43g
5500,15b
5506,44g
5510,43g
5510,27b
5516,39g
5520,17b
5520,41g
5530,48g
5530,29b
5540,46g
5540,17b
5546,48g
5550,46g
5550,29b
5556,48g
556,29g
5560,51g
5560,17b
5570,29b
5570,48g
5580,44g
5580,15b
5590,27b
5590,45g
5600,46g
5600,10b
5610,37g
5610,22b
5616,46g
5620,10b
5620,37g
5630,46g
5630,22b
5640,12b
5640,48g
5650,24b
5650,39g
5656,48g
5660,12b
5660,39g
5670,48g
5670,24b
5680,13b
5680,49g
5690,25b
570,36g
5700,14b
5710,26b
5710,50g
5720,51g
5720,15b
5730,27b
5740,15b
5750,27b
5760,36g
5760,13b
5770,44g
5770,25b
5780,43g
5780,13b
5786,44g
5790,25b
5790,43g
580,34g
5800,46g
5800,15b
5810,27b
5810,44g
5820,43g
5820,15b
5826,44g
5830,27b
5830,43g
5836,39g
5840,17b
5840,41g
5850,48g
5850,29b
586,36g
5860,46g
5860,17b
5866,48g
5870,29b
5870,46g
5876,48g
5880,17b
5880,51g
5890,29b
5890,48g
5900,46g
5900,15b
5910,48g
5910,27b
5920,13b
5920,36g
5930,44g
5930,25b
5940,13b
5940,43g
5946,44g
5950,25b
5950,43g
596,39g
5960,15b
5960,46g
5970,27b
5970,44g
5980,15b
5980,43g
5984,44g
5990,43g
5990,27b
5994,39g
60,34g
6000,41g
6000,17b
6010,48g
6010,29b
6020,19b
6020,46g
6024,48g
6030,46g
6030,31b
6034,48g
6040,52g
6040,20b
6050,48g
6050,32b
6060,46g
6060,22b
6070,34b
6070,48g
6080,36g
6080,13b
6090,25b
6090,44g
610,36g
6100,13b
6100,43g
6104,44g
6110,43g
6110,25b
6120,46g
6120,15b
6130,44g
6130,27b
6140,15b
6140,43g
6144,44g
6150,27b
6150,43g
6154,39g
6160,41g
6160,17b
6170,29b
6170,48g
6180,46g
6180,17b
6184,48g
6190,46g
6190,29b
6194,48g
620,43g
6200,51g
6200,17b
6210,29b
6210,48g
6220,44g
6220,15b
6230,45g
6230,27b
6240,46g
6240,10b
6250,37g
6250,22b
6254,46g
6260,37g
6260,10b
6270,22b
6270,46g
6280,48g
6280,12b
6290,24b
6290,46g
630,39g
6300,44g
6300,12b
6310,24b
6310,43g
6320,17b
6320,41g
6330,29b
6340,19b
6350,31b
636,40g
6360,20b
6370,32b
6380,22b
6390,34b
64,32g
640,41g
6400,29g
6400,5b
6410,17b
6410,36g
6420,5b
6420,34g
6426,36g
6430,17b
6436,31g
6440,5b
6446,32g
6450,17b
6456,36g
6460,34g
6460,5b
6466,32g
6470,31g
6470,17b
6476,29g
6480,5b
6490,17b
6490,36g
650,29b
650,48g
6500,5b
6500,34g
6506,36g
6510,17b
6516,31g
6520,5b
6526,32g
6530,17b
6536,36g
6540,27g
6540,5b
6550,17b
6550,28g
6560,5b
6560,29g
6570,36g
6570,17b
6580,34g
6580,5b
6586,36g
6590,17b
6596,31g
660,46g
660,17b
6600,5b
6606,32g
6610,17b
6616,36g
6620,34g
6620,5b
6626,32g
6630,31g
6630,17b
6636,29g
6640,5b
6650,17b
6650,36g
666,48g
6660,34g
6660,5b
6666,36g
6670,17b
6676,31g
6680,5b
6686,32g
6690,17b
6696,36g
670,29b
6700,5b
6700,27g
6710,28g
6710,17b
6720,5b
6720,29g
6730,36g
6730,17b
674,43g
6740,34g
6740,5b
6746,36g
6750,17b
6756,31g
6760,5b
6766,32g
6770,17b
6776,36g
6780,34g
6780,5b
6786,32g
6790,17b
6790,31g
6796,29g
680,17b
6800,5b
6810,17b
6810,36g
6820,34g
6820,5b
6826,36g
6830,17b
6836,31g
6840,5b
6846,32g
6850,17b
6856,36g
686,44g
6860,5b
6860,27g
6870,17b
6870,28g
6880,29g
6880,5b
6890,36g
6890,17b
690,29b
6900,34g
6900,5b
6906,36g
6910,17b
6916,31g
6920,5b
6926,32g
6930,17b
6936,36g
6940,34g
6940,5b
6944,32g
6950,17b
6950,31g
6954,29g
696,48g
6960,5b
6970,17b
6970,36g
6980,34g
6980,5b
6984,36g
6990,17b
6994,39g
70,31g
700,17b
700,46g
7000,5b
7010,17b
7010,36g
7020,43g
7020,5b
7030,17b
7030,39g
7034,40g
704,44g
7040,41g
7050,48g
7050,29b
7060,46g
7060,17b
7064,48g
7070,29b
7074,43g
7080,17b
7084,44g
7090,29b
7094,48g
710,43g
710,29b
7100,46g
7100,17b
7104,44g
7110,29b
7110,43g
7114,41g
7120,17b
7130,29b
7130,48g
714,41g
7140,46g
7140,17b
7144,48g
7150,29b
7154,43g
7160,17b
7164,44g
7170,29b
7174,48g
7180,39g
7180,17b
7190,40g
7190,29b
